# ─────────────────┬────────────┬──────────┬───────────────────────────────────────────┐
#│     Regime      │  UT date   │ Exposure │                   Moon                    │
#├─────────────────┼────────────┼──────────┼───────────────────────────────────────────┤
#│ dark            │ 2026-03-15 │ 1200 s   │ 16% lit, below horizon, 135° away,        │
#│                 │            │          │ airmass 1.23                              │
#├─────────────────┼────────────┼──────────┼───────────────────────────────────────────┤
#│ grey            │ 2026-02-23 │ 600 s    │ 34% lit, above horizon, 37° away, airmass │
#│                 │            │          │  1.37                                     │
#├─────────────────┼────────────┼──────────┼───────────────────────────────────────────┤
#│ bright          │ 2026-06-03 │ 600 s    │ 92% lit, above horizon, 32° away, airmass │
#│ ("light")       │            │          │  1.31                                     │
#└─────────────────┴────────────┴──────────┴───────────────────────────────────────────
moon_regime,channel,night,frame,mjd,texp_s,airmass,slit_arcsec,binspat,binspec,moon_illum,moon_alt_deg,moon_sep_deg,wavelength_A,sb_ab_mag_arcsec2,flam_erg_s_cm2_A_arcsec2,segment
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3148.644,21.8355,2.024798e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3149.679,21.7996,2.091514e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3150.714,21.9386,1.838879e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3151.750,22.0151,1.712733e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3152.785,22.0749,1.619770e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3153.820,22.0515,1.654036e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3154.855,21.9828,1.760921e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3155.890,22.2228,1.410791e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3156.926,22.2475,1.378134e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3157.961,22.2833,1.332569e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3158.996,22.4588,1.132956e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3160.031,22.3945,1.201281e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3161.066,22.3961,1.198692e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3162.101,22.3236,1.280613e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3163.136,22.3849,1.209604e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3164.171,22.3399,1.259966e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3165.206,22.2993,1.307100e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3166.241,22.2518,1.364643e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3167.276,22.3285,1.270755e-17,base
