# Palomar sky spectrum for "grey" conditions
# Measured by Christoffer Fremling, 2026-07
# Compiled by Chaz Shapiro, 2026-08-07

wavelength_A,flam_erg_s_cm2_A_arcsec2
3253.943750000006,2.637730499999994e-17
3254.634250000003,2.63955925e-17
3255.3250000000116,2.688100750000017e-17
3256.0155000000086,2.6920182500000215e-17
3256.7060000000056,2.713819250000021e-17
3257.3965000000026,2.8222180000000094e-17
3258.0869999999995,2.942095750000002e-17
3258.7774999999965,3.0783977499999954e-17
3259.4679999999935,3.217093249999992e-17
3260.158749999973,3.350660999999985e-17
3260.84924999997,3.409093999999976e-17
3261.539999999979,3.445647249999982e-17
3262.230499999976,3.5001777499999854e-17
3262.921000000002,3.491241499999997e-17
3263.611499999999,3.47682025000001e-17
3264.3017500000133,3.5105650000000086e-17
3264.9922500000393,3.509161250000005e-17
3265.6825000000244,3.456237750000008e-17
3266.3730000000214,3.4153975000000046e-17
3267.063750000001,3.328596999999993e-17
3267.754249999998,3.2183387500000043e-17
3268.445000000007,3.1875037499999944e-17
3269.135500000004,3.226517999999991e-17
3269.826000000001,3.346677499999992e-17
3270.516499999998,3.504776499999986e-17
3271.206999999995,3.5770004999999987e-17
3271.897499999992,3.5370247499999976e-17
3272.587999999989,3.404112500000005e-17
3273.278499999986,3.292055500000005e-17
3273.968749999971,3.195201499999989e-17
3274.659249999968,3.19295e-17
3275.349499999982,3.19617925000001e-17
3276.039999999979,3.174863000000002e-17
3276.730749999988,3.1896655000000194e-17
3277.421250000014,3.1799887500000064e-17
3278.111750000011,3.132012000000006e-17
3278.802250000008,3.1249727500000113e-17
3279.492750000005,3.0564669999999995e-17
3280.183250000002,2.958986499999998e-17
3280.873749999999,2.921423749999996e-17
3281.564249999996,2.8508232500000066e-17
3282.254749999993,2.869337750000006e-17
3282.9452499999898,2.872585750000013e-17
3283.6357499999867,2.894460749999999e-17
3284.3262499999837,2.869406499999994e-17
3285.016499999998,2.852465999999987e-17
3285.706999999995,2.919590999999991e-17
3286.397499999992,2.977416249999993e-17
3287.087999999989,3.064092000000007e-17
3287.778499999986,3.1303727500000054e-17
3288.4689999999828,3.1373780000000064e-17
3289.1594999999797,3.089841750000006e-17
3289.849749999994,3.0925604999999896e-17
3290.540249999991,3.0503655000000133e-17
3291.230499999976,3.087151250000017e-17
3291.921000000002,3.175676000000014e-17
3292.611499999999,3.2442767500000084e-17
3293.301999999996,3.4445967499999935e-17
3293.992500000022,3.6497592499999745e-17
3294.683000000019,3.8794602499999946e-17
3295.373500000016,4.1159422500000165e-17
3296.064000000013,4.2499620000000266e-17
3296.75450000001,4.316394250000017e-17
3297.444749999995,4.3230477500000027e-17
3298.135249999992,4.2663857499999884e-17
3298.8255000000063,4.2010042499999663e-17
3299.5160000000033,4.119382249999989e-17
3300.2065000000002,4.044366250000005e-17
3300.896999999997,4.0014317500000044e-17
3301.587499999994,3.9653917500000245e-17
3302.2777499999793,3.978983750000023e-17
3302.9682499999763,3.9452537500000214e-17
3303.6584999999905,3.939452500000001e-17
3304.3489999999874,3.8393315000000013e-17
3305.0394999999844,3.6623937499999874e-17
3305.7299999999814,3.5476679999999746e-17
3306.4204999999783,3.385296749999981e-17
3307.1107499999634,3.302686249999984e-17
3307.8009999999776,3.2216947500000115e-17
3308.491249999992,3.14957175000002e-17
3309.181499999977,3.070900500000024e-17
3309.872000000003,3.005497000000006e-17
3310.5625,3.05865649999998e-17
3311.252999999997,3.09864024999996e-17
3311.943500000023,3.215660999999954e-17
3312.633750000008,3.3535432499999786e-17
3313.324250000005,3.4303447499999956e-17
3314.0145000000193,3.45343075000002e-17
3314.7050000000163,3.4377080000000505e-17
3315.3955000000133,3.426709500000019e-17
3316.0857500000275,3.356847250000015e-17
3316.7762500000244,3.358159250000015e-17
3317.4665000000095,3.3822610000000147e-17
3318.1567500000237,3.420261750000036e-17
3318.8472500000207,3.5063730000000336e-17
3319.537500000006,3.614047500000014e-17
3320.22775000002,3.6705522500000174e-17
3320.918250000017,3.680200750000016e-17
3321.608500000002,3.6801532500000243e-17
3322.298999999999,3.592828750000048e-17
3322.989499999996,3.561814750000031e-17
3323.679749999981,3.495170250000039e-17
3324.370249999978,3.393490250000044e-17
3325.0604999999923,3.2913442500000146e-17
3325.7507499999774,3.197689249999995e-17
3326.4412499999744,3.184469249999969e-17
3327.1314999999886,3.207644249999938e-17
3327.8217499999737,3.277373249999966e-17
3328.511999999988,3.3425007499999945e-17
3329.202250000002,3.3122464999999984e-17
3329.892499999987,3.271687250000004e-17
3330.5827500000014,3.210759249999969e-17
3331.2732499999984,3.1009864999999714e-17
3331.9634999999835,3.068918749999986e-17
3332.6537499999977,3.043166500000008e-17
3333.3442499999946,3.043142000000012e-17
3334.0344999999797,3.065466750000016e-17
3334.724749999994,3.0844054999999984e-17
3335.414999999979,3.117128249999984e-17
3336.105249999964,3.090940000000005e-17
3336.7954999999783,3.0401240000000034e-17
3337.4857499999634,2.9591175000000334e-17
3338.1762499999895,2.836819000000043e-17
3338.8665000000037,2.7712317500000185e-17
3339.556749999989,2.6954530000000145e-17
3340.247000000003,2.7576985000000096e-17
3340.937249999988,2.823287499999994e-17
3341.6275000000023,2.900551000000007e-17
3342.3177499999874,3.0056675000000144e-17
3343.0082499999844,2.9460787500000144e-17
3343.6984999999695,2.922239250000007e-17
3344.3887499999837,2.9159702500000314e-17
3345.07925000001,2.9079532500000154e-17
3345.769250000012,2.943789249999993e-17
3346.4592500000144,2.988666499999999e-17
3347.1494999999995,3.051820249999988e-17
3347.839500000002,3.06714549999999e-17
3348.529749999987,3.1112800000000114e-17
3349.220250000013,3.123364000000005e-17
3349.910499999998,3.0352715000000093e-17
3350.6007499999832,2.955402999999992e-17
3351.2909999999683,2.832686749999998e-17
3351.9809999999707,2.7390422500000158e-17
3352.6712499999558,2.7054439999999906e-17
3353.361249999958,2.774861499999996e-17
3354.0515000000014,2.861110249999969e-17
3354.7417499999865,3.000010499999968e-17
3355.431749999989,3.083490999999966e-17
3356.121999999974,3.13057049999997e-17
3356.812249999959,3.1608544999999606e-17
3357.502499999944,3.124205999999972e-17
3358.192749999929,3.14656274999997e-17
3358.8829999999725,3.163970999999991e-17
3359.572999999975,3.167771500000017e-17
3360.262999999977,3.1269760000000254e-17
3360.9532500000205,2.954732750000034e-17
3361.6435000000056,2.7487930000000352e-17
3362.3337499999907,2.516627250000025e-17
3363.023999999976,2.3475642500000133e-17
3363.714249999961,2.311834250000017e-17
3364.404249999963,2.2734995000000162e-17
3365.0942499999655,2.311126250000026e-17
3365.784500000009,2.4796345000000193e-17
3366.474500000011,2.6321222500000176e-17
3367.1647499999963,2.809375500000014e-17
3367.8549999999814,3.013009749999994e-17
